index,hospital_name,city,state,hospital_type,beds,rating,nabh,specialties,address,latitude,longitude,disease,treatment,treatment_cost_inr,beds_for_specific_disease,patients_on_disease_beds,patients_treated_well,patients_not_treated_well
0,AIIMS Delhi,Delhi,Delhi,Government,2478,4.8,Yes,Cardiology | Neurology | Oncology | Orthopedics | Transplant,"Sri Aurobindo Marg, Ansari Nagar, New Delhi 110029",28.5758,77.2539,Dengue,Supportive care with fluid management and platelet monitoring,7700,295,224,211,13
1,Sir Ganga Ram Hospital,Delhi,Delhi,Private,675,4.6,Yes,Gastroenterology | Nephrology | Cardiology | Oncology,"Rajinder Nagar, New Delhi 110060",28.6391,77.1773,Malaria,Antimalarial medication with supportive care and monitoring,15500,34,32,25,7
2,Max Super Speciality Saket,Delhi,Delhi,Private,500,4.5,Yes,Cardiac Sciences | Neurosciences | Oncology | Orthopedics,"1, Press Enclave Marg, Saket, New Delhi 110017",28.6084,77.1768,Tuberculosis (TB),Multi-drug anti-tubercular therapy with monitoring,8200,23,20,18,2
3,Fortis Escorts Heart Institute,Delhi,Delhi,Private,310,4.6,Yes,Cardiac Surgery | Cardiology | Vascular Surgery,"Okhla Road, New Delhi 110025",28.634,77.1811,Typhoid,Antibiotic therapy with supportive care and hydration,3600,36,26,24,2
4,BLK-Max Super Speciality,Delhi,Delhi,Private,700,4.4,Yes,Bone Marrow Transplant | Oncology | Liver Transplant | Cardiology,"Pusa Road, Rajinder Nagar, New Delhi 110005",28.6569,77.1707,Cholera,Oral/IV rehydration therapy with antibiotics as indicated,16900,71,41,35,6
5,Safdarjung Hospital,Delhi,Delhi,Government,1600,4.2,Yes,General Medicine | Surgery | Orthopedics | Burns,"Ansari Nagar West, New Delhi 110029",28.6174,77.2445,Chikungunya,Supportive care with analgesics and hydration,1100,177,143,122,21
6,Indraprastha Apollo,Delhi,Delhi,Private,710,4.5,Yes,Cardiology | Oncology | Transplant | Robotic Surgery,"Mathura Road, Sarita Vihar, New Delhi 110076",28.614,77.1911,Japanese Encephalitis,Supportive neuro-critical care with intensive monitoring,200900,84,46,42,4
7,RML Hospital,Delhi,Delhi,Government,1531,4.1,Yes,General Medicine | Surgery | Paediatrics | Psychiatry,"Baba Kharak Singh Marg, New Delhi 110001",28.5754,77.1856,Hepatitis A,Supportive care with rest and dietary management,2800,122,91,87,4
8,Lok Nayak Hospital,Delhi,Delhi,Government,2000,4,Yes,General Medicine | Surgery | Burns | Trauma,"Jawaharlal Nehru Marg, New Delhi 110002",28.5931,77.2508,Hepatitis B,Antiviral therapy with regular liver-function monitoring,15200,131,91,85,6
9,Moolchand Hospital,Delhi,Delhi,Private,250,4.3,Yes,Gynaecology | IVF | Orthopedics | Cardiology,"Lajpat Nagar III, New Delhi 110024",28.6139,77.2433,Hepatitis C,Direct-acting antiviral therapy with liver-function monitoring,70300,13,10,8,2
10,Rajiv Gandhi Cancer Institute,Delhi,Delhi,Trust,302,4.6,Yes,Oncology | Surgical Oncology | Radiation Oncology,"Sector 5, Rohini, New Delhi 110085",28.63,77.2059,Hepatitis E,Supportive care with rest and hydration,9500,15,11,9,2
11,Dharamshila Narayana,Delhi,Delhi,Private,300,4.4,Yes,Oncology | Bone Marrow Transplant | Radiation Oncology,"Vasundhara Enclave, New Delhi 110096",28.6412,77.2028,HIV/AIDS,Antiretroviral therapy with regular immunological monitoring,26200,23,20,17,3
12,Primus Super Speciality,Delhi,Delhi,Private,150,4.3,Yes,Bariatric Surgery | Orthopedics | Spine | Urology,"2 Chandragupta Marg, Chanakyapuri, New Delhi 110021",28.6032,77.2437,COVID-19,Supportive care with antivirals/oxygen therapy as required,89600,6,5,4,1
13,Venkateshwar Hospital,Delhi,Delhi,Private,350,4.3,Yes,Cardiac Sciences | Neurology | Joint Replacement | IVF,"Sector 18A, Dwarka, New Delhi 110075",28.5748,77.1996,Influenza,Antiviral and supportive care with rest and hydration,2200,8,6,6,0
14,LHMC & Sucheta Kriplani,Delhi,Delhi,Government,800,4.2,Yes,Gynaecology | Paediatrics | General Medicine,"Bangla Sahib Marg, Connaught Place, New Delhi 110001",28.5948,77.1958,Pneumonia,Antibiotic therapy with oxygen support and monitoring,14400,54,50,44,6
